WochenID,FolgenID, Ausstrahlung,Reaction,Ort,K1,K2,K3,K4,K5,Summe,M,A,C,Bolwertung,Person,Geschlecht,Alter,Schlafrock?,YT-Link
1,1458,14.11.2011,,Wilhelmshaven,,,,,,24,,,,,Christina,w,,0,
1,1459,15.11.2011,,Wilhelmshaven,,,,,,29,,,,,Werner,m,,0,
1,1460,16.11.2011,05.08.2025,Wilhelmshaven,8,7,,7,8,30,,,,,Manu,w,,0,https://www.youtube.com/watch?v=JRaXaNF38T4
1,1461,17.11.2011,05.08.2025,Wilhelmshaven,7,8,8,,8,31,6,6,6,18,Jonas,m,,0,
1,1462,18.11.2011,06.08.2025,Wilhelmshaven,9,9,7,7,,34,7,7,7,21,Anja,w,,0,https://www.youtube.com/watch?v=qZx-caq2rKQ
2,205,18.12.2006,11.08.2025,Nürnberg,,9,8,7,9,33,8,7,,23,Marco,m,,0,https://www.youtube.com/watch?v=83Idww_IdMI
2,206,19.12.2006,11.08.2025,Nürnberg,7,,7,9,7,30,7,7,7,21,Jasmin,w,,0,https://www.youtube.com/watch?v=FSHipneKy40
2,207,20.12.2006,11.08.2025,Nürnberg,7,7,,7,5,26,6,4,5,15,Uwe,m,,0,https://www.youtube.com/watch?v=jx2S73Kvhtg
2,208,21.12.2006,12.08.2025,Nürnberg,6,8,0,,8,22,7,7,6,20,Jutta,w,,0,https://www.youtube.com/watch?v=a652pcQQ1zE
2,209,22.12.2006,12.08.2025,Nürnberg,8,8,7,7,,30,8,8,,24,Andrea,w,,0,https://www.youtube.com/watch?v=iSEOMUPzLg8
3,1137,16.08.2010,26.08.2025,Bergisches Land,,8,8,8,7,31,9,9,8,26,Simone,w,,0,https://www.youtube.com/watch?v=GmL60mOkZN0
3,1138,17.08.2010,26.08.2025,Bergisches Land,5,,6,6,6,23,4,4,4,12,Alex,m,,0,https://www.youtube.com/watch?v=i0_ILP__1WE
3,1139,18.08.2010,26.08.2025,Bergisches Land,7,8,,8,9,32,7,7,8,22,Morena,w,,0,https://www.youtube.com/watch?v=PynVKq8ej1s
3,1140,19.08.2010,27.08.2025,Bergisches Land,8,9,8,,8,33,8,8,9,25,Stefi,w,,0,https://www.youtube.com/watch?v=fjvfKEtN_QI
3,1141,20.08.2010,27.08.2025,Bergisches Land,7,9,10,7,,33,8,9,9,26,Frank,m,,0,https://www.youtube.com/watch?v=tZ1C-jT6NX8
4,1824,29.04.2013,16.09.2025,Hamburg,,5,7,7,5,24,,6,6,18,Michaela,w,,0,https://www.youtube.com/watch?v=LjlGPN8UHyw
4,1825,30.04.2013,16.09.2025,Hamburg,7,,7,5,5,24,,4,4,12,Daniel (BÄM),m,23,0,https://www.youtube.com/watch?v=IGFmMo5HKm4
4,1826,01.05.2013,16.09.2025,Hamburg,9,6,,9,7,31,,8,8,24,Carola,w,,0,https://www.youtube.com/watch?v=XxkdC8iR72M
4,1827,02.05.2013,17.09.2025,Hamburg,9,8,8,,9,34,,9,8,26,Björn (Poly Saturday),m,,0,https://www.youtube.com/watch?v=Xqv6239Ce44
4,1828,03.05.2013,17.09.2025,Hamburg,8,5,7,9,,29,,8,7,23,Heinz,m,49,0,https://www.youtube.com/watch?v=VVoeERH6lU0
5,1558,02.04.2011,30.09.2025,Nürnberg,,8,8,8,,24,8,7,8,23,Liane,w,,0,https://www.youtube.com/watch?v=4VNwpqL2LJ4
5,1559,03.04.2011,30.09.2025,Nürnberg,7,,8,8,,23,9,9,7,25,Irene,w,,0,https://www.youtube.com/watch?v=4VNwpqL2LJ4
5,1560,04.04.2011,01.10.2025,Nürnberg,9,8,,8,,25,7,9,7,25,Hendrick,m,,0,https://www.youtube.com/watch?v=4VNwpqL2LJ4
5,1561,05.04.2011,01.10.2025,Nürnberg,6,8,5,,,19,5,7,7,19,Rudi (Murphy’s Law),m,,0,https://www.youtube.com/watch?v=4VNwpqL2LJ4
6,1468,28.11.2011,14.10.2025,Ruhrgebiet,,7,9,7,8,31,8,,8,24,Angela,w,44,1,https://www.youtube.com/watch?v=F225lPXKgNo
6,1469,29.11.2011,14.10.2025,Ruhrgebiet,7,,10,8,8,33,5,,6,17,Anna,w,25,1,https://www.youtube.com/watch?v=F225lPXKgNo
6,1470,30.11.2011,14.10.2025,Ruhrgebiet,5,6,,8,7,26,4,,4,12,Nico,m,22,1,https://www.youtube.com/watch?v=F225lPXKgNo
6,1471,01.12.2011,15.10.2025,Ruhrgebiet,6,8,9,,8,31,4,,4,12,Gabi,w,46,1,https://www.youtube.com/watch?v=F225lPXKgNo
6,1472,02.12.2011,15.10.2025,Ruhrgebiet,8,10,10,10,,38,10,,9,,Jens,m,44,1,https://www.youtube.com/watch?v=F225lPXKgNo
7,1295,28.03.2011,20.10.2025,Ruhrgebiet,,7,7,6,6,26,4,4,5,13,Benson,w,,1,https://www.youtube.com/watch?v=NSGS5bNatb8
7,1296,29.03.2011,20.10.2025,Ruhrgebiet,3,,5,10,9,27,8,8,8,24,Gisela,w,,1,https://www.youtube.com/watch?v=kc3Id6Qch-o
7,1297,30.03.2011,21.10.2025,Ruhrgebiet,7,5,,6,8,26,6,7,6,19,Lars,m,,1,https://www.youtube.com/watch?v=m34HvKQ3kFI
7,1298,31.03.2011,21.10.2025,Ruhrgebiet,8,7,7,,6,28,8,8,7,23,Manuela,w,,1,https://www.youtube.com/watch?v=qb7YbcF69_Q
7,1299,01.04.2011,21.10.2025,Ruhrgebiet,6,7,4,7,,24,8,8,8,24,Thomas,m,,1,https://www.youtube.com/watch?v=SsjCga3Emik
8,1976,02.12.2013,28.10.2025,Berlin,,7,8,7,8,30,8,7,7,22,Katharina,w,25,0,https://www.youtube.com/watch?v=SN1KuiYpFik
8,1977,03.12.2013,28.10.2025,Berlin,6,,7,7,7,27,7,8,7,22,Nydal,w,25,0,https://www.youtube.com/watch?v=SN1KuiYpFik
8,1978,04.12.2013,28.10.2025,Berlin,7,7,,8,8,30,7,8,8,23,Claudia,w,25,0,https://www.youtube.com/watch?v=SN1KuiYpFik
8,1979,05.12.2013,29.10.2025,Berlin,8,6,9,,9,32,4,3,3,11,Lukas,m,23,0,https://www.youtube.com/watch?v=SN1KuiYpFik
8,1980,06.12.2013,29.10.2025,Berlin,7,5,8,6,,26,8,8,7,23,Cissy,w,20,0,https://www.youtube.com/watch?v=SN1KuiYpFik
9,1379,25.07.2011,04.11.2025,Paris,,6,6,6,7,25,6,6,6,18,Lea,w,,0,https://www.youtube.com/watch?v=B-ff3sE0e1w
9,1380,26.07.2011,04.11.2025,Paris,7,,7,8,9,31,6,6,6,18,Oliver,m,38,0,https://www.youtube.com/watch?v=10Kx4n1AH9o
9,1381,27.07.2011,05.11.2025,Paris,6,7,,7,8,28,6,6,7,19,Raimund,m,48,0,https://www.youtube.com/watch?v=J3OypngBkIs
9,1382,28.07.2011,05.11.2025,Paris,8,7,8,,9,32,9,10,9,28,Jakob,m,30,0,https://www.youtube.com/watch?v=DklA5BX2bAU
9,1383,29.07.2011,05.11.2025,Paris,6,6,7,7,,26,7,6,6,19,Tanja,w,40,0,https://www.youtube.com/watch?v=THtHf_Bv7Lw
10,1062,03.05.2010,19.11.2025,Oldenburg,,8,6,9,7,30,8,8,8,24,Nasrin,w,,0,https://www.youtube.com/watch?v=g1y-SSL08C0
